"STATISTIC","Statistic Label","TLIST(M1)","Month","C02583V03135","NACE Group","UNIT","VALUE"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","77.2"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","76.2"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","82.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201502","2015 February","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","89.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","45","Motor trades (45)","Base 2015=100","142.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","96.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","4719","Department stores (4719)","Base 2015=100","75.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","4730","Retail sale of automotive fuel (4730)","Base 2015=100","100.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","90.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","85.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","5630","Bars (5630)","Base 2015=100","90.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","V3970","All retail businesses","Base 2015=100","104.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","136.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","89.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","X1320","All retail businesses, excluding motor trades","Base 2015=100","89.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","88.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","95.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","82.2"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","93.2"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","85.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","80.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","80.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","75.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","75.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","74.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201503","2015 March","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","89"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","45","Motor trades (45)","Base 2015=100","122.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","101.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","4719","Department stores (4719)","Base 2015=100","88.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","4730","Retail sale of automotive fuel (4730)","Base 2015=100","103.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","116.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","80.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","5630","Bars (5630)","Base 2015=100","88.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","V3970","All retail businesses","Base 2015=100","101.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","119.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","94.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","X1320","All retail businesses, excluding motor trades","Base 2015=100","94"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","93.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","100.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","87.2"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","94.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","89"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","79.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","91.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","75"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","74.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","76.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201504","2015 April","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","91.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","45","Motor trades (45)","Base 2015=100","91.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","99.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","4719","Department stores (4719)","Base 2015=100","86.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","4730","Retail sale of automotive fuel (4730)","Base 2015=100","106.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","113.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","75.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","5630","Bars (5630)","Base 2015=100","101.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","V3970","All retail businesses","Base 2015=100","93.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","94"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","93.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","X1320","All retail businesses, excluding motor trades","Base 2015=100","94.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","92.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","98.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","87.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","94.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","88"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","86.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","91.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","79"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","79.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","76.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201505","2015 May","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","90.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","45","Motor trades (45)","Base 2015=100","71.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","98"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","4719","Department stores (4719)","Base 2015=100","98.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","4730","Retail sale of automotive fuel (4730)","Base 2015=100","111.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","111.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","97.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","5630","Bars (5630)","Base 2015=100","97.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","V3970","All retail businesses","Base 2015=100","90.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","77.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","97.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","X1320","All retail businesses, excluding motor trades","Base 2015=100","97.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","96.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","97.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","94.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","96"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","98"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","87.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","100.2"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","80.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","77.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","97.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201506","2015 June","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","97.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","45","Motor trades (45)","Base 2015=100","140.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","99.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","4719","Department stores (4719)","Base 2015=100","90.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","4730","Retail sale of automotive fuel (4730)","Base 2015=100","101.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","107.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","77.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","5630","Bars (5630)","Base 2015=100","110"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","V3970","All retail businesses","Base 2015=100","108.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","135.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","96.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","X1320","All retail businesses, excluding motor trades","Base 2015=100","96.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","95.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","99.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","92"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","100.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","87.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","85.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","102"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","84.2"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","79.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","106.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201507","2015 July","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","95.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","45","Motor trades (45)","Base 2015=100","91.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","97.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","4719","Department stores (4719)","Base 2015=100","90.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","4730","Retail sale of automotive fuel (4730)","Base 2015=100","99.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","101.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","102.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","5630","Bars (5630)","Base 2015=100","116"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","V3970","All retail businesses","Base 2015=100","96.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","92.8"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","97.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","X1320","All retail businesses, excluding motor trades","Base 2015=100","98.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","97.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","97.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","96.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","98"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","101.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","99.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","105.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","X1400","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","81.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","X1410","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","73"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","X1420","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","120.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201508","2015 August","X1430","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","97.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","45","Motor trades (45)","Base 2015=100","85.4"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","4711","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","95.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","4719","Department stores (4719)","Base 2015=100","88.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","4730","Retail sale of automotive fuel (4730)","Base 2015=100","101.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","4752","Retail sale of hardware, paints and glass (4752)","Base 2015=100","95.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","4759","Retail sale of furniture and lighting (4759)","Base 2015=100","107.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","5630","Bars (5630)","Base 2015=100","106.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","V3970","All retail businesses","Base 2015=100","93.9"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","V3980","Motor trades and automotive fuel (45,4730)","Base 2015=100","87.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","X1310","All retail businesses, excluding motor trades and bars","Base 2015=100","96.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","X1320","All retail businesses, excluding motor trades","Base 2015=100","97.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","X1330","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","96.1"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","X1340","Retail sale of food (4711,4721 to 4729)","Base 2015=100","95.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","X1350","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","96.5"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","X1360","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","94.3"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","X1370","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","102.7"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","X1380","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","101.6"
"RSM05C01","Retail Sales Index Value Unadjusted","201509","2015 September","X1390","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","93.6"
